nombre;marca;presentacion;precio;lugar;unidades;tipo;grupo;categoria_precio
Leche de Coco;Roland;414.0;12200;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Coco;Iprodesa;200.0;4950;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche de Coco;Antillana;250.0;2550;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Soya con Jugo de Durazno;Ades;1000.0;7630;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Jugo de Durazno;Ades;200.0;2330;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Soya con Jugo de Manzana;Ades;200.0;2330;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Soya con Sabor Natural;Soy Plus;1000.0;11440;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Sabor Natural;Ades;1000.0;9200;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya;Silk;946.0;12900;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Soya;Silk;946.0;12900;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Soya con Sabor a Chocolate;Silk;240.0;4760;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche de Soya con Sabor a Vainilla;Silk;240.0;5600;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche de Soya con Sabor a Vainilla;Silk;946.0;12900;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Soya con Sabor a Vainilla;Soy Plus;1000.0;10400;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Sabor a Vainilla;La Superior;900.0;5970;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche de Soya con Jugo de Mango;Ades;1000.0;7630;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Jugo de Manzana;Ades;1000.0;6800;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche de Soya con Jugo de Manzana Dietética;Ades;1000.0;7670;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Jugo de Mora;Ades;200.0;2330;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Soya con Jugo de Naranja;Ades;1000.0;7270;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Jugo de Naranja;Ades;200.0;2330;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche de Soya con Jugo de Naranja Dietética;Ades;1000.0;7670;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche de Soya con Jugo de Durazno;Soy Plus;1000.0;6230;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche de Soya con Jugo de Mango;Soy Plus;1000.0;6230;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche de Soya con Jugo de Frutas Surtidas;Soy Plus;1200.0;13300;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Soya;Soy Plus;1200.0;13320;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche de Soya con Sabor Natural;La Superior;900.0;6207;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche con Sabor a Chocolate;Alpina;1200.0;11500;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Sabor a Chocolate;Parmalat;1200.0;7460;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Sabor a Chocolate;Milo;1080.0;11630;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Saborizada;Alpina;1080.0;9400;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Sabor a Chocolate;Alquería;225.0;1496;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche con Sabor a Chocolate;Alquería;1350.0;9184;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Sabor a Fresa;Colanta;200.0;1590;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche con Sabor a Chocolate;Alpina;200.0;2130;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche con Sabor a Fresa;Alpina;200.0;2250;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche con Sabor a Vainilla;Alpina;200.0;2130;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Saborizada;Alpina;1200.0;11500;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche con Sabor a Chocolate;Alquería;1200.0;7400;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
