,nombre,marca,presentacion,precio,lugar
222,Arroz Blanco,Arroz Marfil, 500 g,45 550 $,Éxito
223,Arroz Blanco de Muy Alta Calidad,Caribe,1 000 g,4 380 $,Éxito
224,Arroz Blanco de Muy Alta Calidad,Caribe,2 500 g,8 600 $,Éxito
225,Mantequilla con Sal,Rama, 500 g,7 190 $,Éxito
226,Mantequilla Liviana,Rama, 500 g,6 830 $,Éxito
227,Mantequilla,Karavansay, 200 g,23 400 $,Éxito
228,Mantequilla con Sal,Alpina, 125 g,3 990 $,Éxito
229,Mantequilla con Canola,Rama, 500 g,9 060 $,Éxito
230,Mantequilla con Sal,Campi, 250 g,4 580 $,Éxito
231,Mantequilla con Sal,Campi, 500 g,9 540 $,Éxito
232,Mantequilla,Rama, 125 g,1 860 $,Éxito
233,Mantequilla Liviana,Campi, 500 g,10 058 $,Éxito
234,Mantequilla Liviana,Rama, 500 g,9 690 $,Éxito
235,Mantequilla,Campi, 500 g,8 930 $,Éxito
236,Mantequilla,Ekono, 500 g,6 380 $,Éxito
237,Mantequilla Liviana,Rama, 250 g,5 570 $,Éxito
238,Mantequilla sin Sal,Alpina, 125 g,3 970 $,Éxito
239,Mantequilla sin Sal,Colanta, 250 g,6 110 $,Éxito
240,Mantequilla con Sal,Rama, 250 g,5 290 $,Éxito
241,Mantequilla con Sal,Rama, 500 g,9 180 $,Éxito
242,Mantequilla con Sal,Rama,1 000 g,17 300 $,Éxito
243,Margarina de Mesa y Cocina,Éxito, 500 g,5 510 $,Éxito
244,Margarina de Soya,Éxito, 227 g,4 870 $,Éxito
245,Margarina de Soya,Éxito, 500 g,8 440 $,Éxito
246,Margarina de Soya,Éxito, 907 g,10 390 $,Éxito
247,Margarina de Mesa y Cocina,La Fina, 250 g,3 770 $,Éxito
248,Margarina de Mesa y Cocina,La Fina, 500 g,6 790 $,Éxito
249,Margarina de Mesa y Cocina,Éxito, 125 g,1 830 $,Éxito
250,Margarina de Mesa y Cocina,Éxito, 250 g,3 510 $,Éxito
251,Mantequilla Liviana,Rama, 250 g,3 810 $,Éxito
252,Margarina de Mesa y Cocina,Rama, 500 g,7 440 $,Éxito
253,Margarina de Mesa y Cocina,La Fina, 500 g,6 080 $,Éxito
254,Mantequilla con Sal,Alpina, 250 g,8 240 $,Éxito
255,Arroz Blanco,Roa,1 000 g,2 900 $,Éxito
256,Arroz Blanco,Florhuila,5 000 g,14 500 $,Éxito
257,Arroz Blanco,Roa,5 000 g,21 900 $,Éxito
258,Arroz Blanco,Éxito,1 000 g,2 500 $,Éxito
259,Arroz Blanco de Muy Alta Calidad,Diana,2 500 g,18 450 $,Éxito
260,Arroz Blanco,Ekono,3 000 g,10 600 $,Éxito
261,Mantequilla sin Sal,Colanta, 500 g,11 760 $,Éxito
262,Arroz Blanco de Muy Alta Calidad,Castellano,1 000 g,10 400 $,Éxito
263,Arroz Blanco de Muy Alta Calidad,Diana,1 000 g,7 200 $,Éxito
264,Arroz Blanco,Diana,1 000 g,6 090 $,Éxito
265,Arroz Blanco de Muy Alta Calidad,Diana,4 000 g,31 250 $,Éxito
266,Arroz Blanco de Muy Alta Calidad,Platino,1 000 g,6 030 $,Éxito
267,Arroz Blanco,Diana,5 000 g,23 950 $,Éxito
268,Arroz Blanco,Éxito,5 000 g,18 900 $,Éxito
269,Huevos AA Rojos,Santa Anita, 12 unidades,5 841 $,Éxito
270,Huevos AA Rojos,Santa Anita, 24 unidades,11 750 $,Éxito
271,Huevos A Blancos,Éxito, 12 unidades,5 910 $,Éxito
272,Huevos AA Blancos,Éxito, 30 unidades,15 900 $,Éxito
273,Huevos AA Rojos,Huevos El Rancho, 30 unidades,13 950 $,Éxito
274,Huevos A Rojos,Santa Reyes, 18 unidades,12 400 $,Éxito
275,Huevos AA Rojos,Avinal, 15 unidades,8 613 $,Éxito
276,Huevos AAA Rojos,Avinal, 24 unidades,15 345 $,Éxito
277,Huevos A Rojos,Avinal, 12 unidades,6 400 $,Éxito
278,Huevos A Rojos,Éxito, 12 unidades,5 910 $,Éxito
279,Huevos AA Rojos,Ekono, 12 unidades,4 400 $,Éxito
280,Huevos AA Rojos,Avícola De Oriente, 12 unidades,5 920 $,Éxito
281,Huevos AA Rojos,Avinal, 24 unidades,12 028 $,Éxito
282,Huevos AA Rojos,Santa Reyes, 30 unidades,14 650 $,Éxito
283,Huevos AA Rojos,Avinal, 45 unidades,19 849 $,Éxito
284,Huevos AA Rojos,Avícola De Oriente, 6 unidades,2 950 $,Éxito
285,Huevos AAA Rojos,Avinal, 30 unidades,17 622 $,Éxito
286,Huevos AAA Rojos,Avinal, 12 unidades,6 979 $,Éxito
287,Huevos AA Rojos,Santa Reyes, 21 unidades,12 650 $,Éxito
288,Huevos AA Rojos,Avinal, 30 unidades,13 761 $,Éxito
289,Huevos AA Rojos,Avinal, 30 unidades,10 900 $,Éxito
290,Huevos AAA Rojos,Santa Anita, 24 unidades,12 600 $,Éxito
291,Detergente en Polvo,As, 500 g,3 300 $,Éxito
292,Detergente en Polvo con Blanqueador,Fab,2 000 g,15 100 $,Éxito
293,Detergente en Polvo con Suavizante y Aloe Vera,Fab,2 000 g,13 250 $,Éxito
294,Detergente en Polvo con Suavizante y Aloe Vera,Fab, 850 g,6 330 $,Éxito
295,Detergente en Polvo con Aroma Floral,Éxito,2 700 g,11 190 $,Éxito
296,Detergente en Polvo con Aroma a Limón,Éxito,2 700 g,11 190 $,Éxito
297,Detergente en Polvo con Aroma Floral,As,1 000 g,5 340 $,Éxito
298,Detergente en Polvo con Aroma a Limón,As,2 000 g,10 450 $,Éxito
299,Detergente en Polvo con Aroma a Limón,As,1 000 g,5 490 $,Éxito
300,Detergente en Polvo,As,2 000 g,9 450 $,Éxito
301,Detergente en Polvo,As,1 000 g,5 570 $,Éxito
302,Detergente en Polvo,As,3 000 g,18 250 $,Éxito
303,Detergente en Polvo con Bicarbonato,Éxito,2 700 g,19 900 $,Éxito
304,Detergente en Polvo con Suavizante,Éxito,2 700 g,15 950 $,Éxito
305,Detergente en Polvo,Ariel,1 500 g,11 250 $,Éxito
306,Detergente en Polvo,Ariel, 800 g,7 890 $,Éxito
307,Detergente en Polvo con Blanqueador,Ariel, 800 g,10 700 $,Éxito
308,Detergente en Polvo con Aroma Floral,Éxito, 900 g,4 180 $,Éxito
309,Detergente en Polvo con Aroma a Limón,Éxito, 900 g,4 060 $,Éxito
310,Detergente en Polvo con Aroma a Limón,Éxito, 400 g,1 980 $,Éxito
311,Detergente en Polvo,Ace, 850 g,6 770 $,Éxito
312,Detergente en Polvo,Rindex, 800 g,5 330 $,Éxito
313,Detergente en Polvo,Rindex,2 000 g,10 450 $,Éxito
314,Detergente en Polvo,Rindex,3 000 g,17 100 $,Éxito
315,Detergente en Polvo,Ariel,2 000 g,14 600 $,Éxito
316,Detergente en Polvo,Lavomatic, 850 g,7 870 $,Éxito
317,Detergente en Polvo con Aroma Floral,Rindex,1 500 g,8 170 $,Éxito
318,Detergente en Polvo con Aroma Floral,Rindex,2 000 g,10 450 $,Éxito
319,Detergente en Polvo con Aroma Floral,Rindex,3 000 g,17 550 $,Éxito
320,Detergente en Polvo con Aroma Floral,Rindex,4 000 g,23 000 $,Éxito
321,Detergente en Polvo con Aroma Floral,Rindex, 800 g,5 330 $,Éxito
322,Detergente en Polvo con Aroma Floral,Puro,2 000 g,9 900 $,Éxito
323,Detergente en Polvo con Aroma Floral,Puro,4 000 g,22 050 $,Éxito
324,Detergente en Polvo con Aroma a Limón,Rindex,2 000 g,10 450 $,Éxito
325,Detergente en Polvo con Aroma a Limón,Rindex, 800 g,5 390 $,Éxito
326,Detergente en Polvo con Aroma a Limón,Rindex,4 000 g,24 550 $,Éxito
327,Detergente en Polvo,Fab, 850 g,6 050 $,Éxito
328,Detergente en Polvo,Ariel,2 000 g,13 490 $,Éxito
329,Detergente en Polvo,Ariel,3 000 g,27 100 $,Éxito
330,Detergente en Polvo,Ariel,4 000 g,32 700 $,Éxito
331,Detergente en Polvo con Blanqueador,Ariel,2 000 g,14 600 $,Éxito
332,Detergente en Polvo con Aroma Floral,Éxito, 400 g,1 980 $,Éxito
333,Detergente en Polvo con Aroma Floral,Éxito,4 500 g,20 550 $,Éxito
334,Detergente en Polvo con Aroma a Limón,Ekono,2 400 g,6 460 $,Éxito
335,Detergente en Polvo con Aroma a Limón,Ekono, 250 g,1 290 $,Éxito
336,Detergente en Polvo,Éxito,3 000 g,19 850 $,Éxito
337,Detergente en Polvo,Fab,2 000 g,12 650 $,Éxito
338,Detergente en Polvo con Aroma Floral,Top,2 700 g,19 900 $,Éxito
339,Detergente en Polvo,Lavomatic,2 000 g,17 900 $,Éxito
340,Detergente en Polvo,Fab,4 000 g,31 500 $,Éxito
341,Detergente en Polvo con Aroma Floral,Puro,2 000 g,9 990 $,Éxito
342,Detergente en Polvo con Aroma Floral,Puro,2 000 g,9 900 $,Éxito
343,Detergente en Polvo con Aroma Floral,Puro, 850 g,4 780 $,Éxito
344,Detergente en Polvo con Aroma Floral,Puro, 850 g,4 780 $,Éxito
345,Detergente en Polvo,Ace,2 000 g,14 450 $,Éxito
346,Detergente en Polvo Ecológico,Top Terra,2 000 g,12 990 $,Éxito
347,Detergente en Polvo Ecológico,Top Terra,1 000 g,8 160 $,Éxito
348,Detergente en Polvo con Suavizante,Top,2 700 g,17 700 $,Éxito
349,Detergente en Polvo con Blanqueador,Fab, 850 g,6 110 $,Éxito
350,Detergente en Polvo con Aroma a Limón,Ekono, 900 g,2 410 $,Éxito
351,Pan Blanco,del Éxito, 450 g,4 257 $,Éxito
352,Pan Blanco Tajado,Bimbo, 450 g,2 880 $,Éxito
353,Panecillo Blanco,Bimbo, 290 g,4 540 $,Éxito
354,Pan Blanco para Hamburguesa,Bimbo, 210 g,2 570 $,Éxito
355,Pan Blanco para Hamburguesa,Perman, 245 g,2 260 $,Éxito
356,Pan Blanco para Perro,Bimbo, 205 g,2 630 $,Éxito
357,Pan Blanco para Perro,Perman, 275 g,3 752 $,Éxito
358,Pan Blanco para Hamburguesa,Perman, 300 g,3 130 $,Éxito
